cve,epss,Date
CVE-2025-20339,0.0003,2025-10-15
CVE-2025-34185,0.00308,2025-10-15
CVE-2025-37125,0.00042,2025-10-15
CVE-2025-41243,0.00063,2025-10-15
CVE-2025-42944,0.00047,2025-10-15
CVE-2025-52544,0.00087,2025-10-15
CVE-2025-54914,0.00064,2025-10-15
CVE-2025-55243,0.00105,2025-10-15
CVE-2025-57147,0.00041,2025-10-15
CVE-2025-8422,0.00083,2025-10-15
CVE-2025-20339,0.0003,2025-10-16
CVE-2025-34185,0.00308,2025-10-16
CVE-2025-37125,0.00042,2025-10-16
CVE-2025-41243,0.00063,2025-10-16
CVE-2025-42944,0.00047,2025-10-16
CVE-2025-52544,0.00087,2025-10-16
CVE-2025-54914,0.00064,2025-10-16
CVE-2025-55243,0.00105,2025-10-16
CVE-2025-57147,0.00041,2025-10-16
CVE-2025-8422,0.00083,2025-10-16
CVE-2025-20339,0.0003,2025-10-17
CVE-2025-34185,0.00308,2025-10-17
CVE-2025-37125,0.00042,2025-10-17
CVE-2025-41243,0.00063,2025-10-17
CVE-2025-42944,0.00047,2025-10-17
CVE-2025-52544,0.00087,2025-10-17
CVE-2025-54914,0.00064,2025-10-17
CVE-2025-55243,0.00105,2025-10-17
CVE-2025-57147,0.00041,2025-10-17
CVE-2025-8422,0.00083,2025-10-17
CVE-2025-20339,0.0003,2025-10-18
CVE-2025-34185,0.00336,2025-10-18
CVE-2025-37125,0.00045,2025-10-18
CVE-2025-41243,0.00068,2025-10-18
CVE-2025-42944,0.00047,2025-10-18
CVE-2025-52544,0.00087,2025-10-18
CVE-2025-54914,0.00162,2025-10-18
CVE-2025-55243,0.00105,2025-10-18
CVE-2025-57147,0.00041,2025-10-18
CVE-2025-8422,0.00083,2025-10-18
CVE-2025-20339,0.0003,2025-10-19
CVE-2025-34185,0.00336,2025-10-19
CVE-2025-37125,0.00045,2025-10-19
CVE-2025-41243,0.00068,2025-10-19
CVE-2025-42944,0.00047,2025-10-19
CVE-2025-52544,0.00087,2025-10-19
CVE-2025-54914,0.00162,2025-10-19
CVE-2025-55243,0.00105,2025-10-19
CVE-2025-57147,0.00041,2025-10-19
CVE-2025-8422,0.00083,2025-10-19
CVE-2025-20339,0.0003,2025-10-20
CVE-2025-34185,0.00336,2025-10-20
CVE-2025-37125,0.00045,2025-10-20
CVE-2025-41243,0.00068,2025-10-20
CVE-2025-42944,0.00047,2025-10-20
CVE-2025-52544,0.00087,2025-10-20
CVE-2025-54914,0.00162,2025-10-20
CVE-2025-55243,0.00105,2025-10-20
CVE-2025-57147,0.00041,2025-10-20
